image_name,class_name
photo_3_2024-05-24_14-17-55.jpg,TRUE
photo_3_2024-05-24_14-42-41.jpg,TRUE
photo_4_2024-05-24_11-40-02.jpg,TRUE
photo_4_2024-05-24_14-16-42.jpg,TRUE
photo_4_2024-05-24_14-17-55.jpg,TRUE
photo_4_2024-05-24_14-42-41.jpg,TRUE
photo_5_2024-05-24_11-40-02.jpg,TRUE
photo_5_2024-05-24_14-16-42.jpg,TRUE
photo_5_2024-05-24_14-17-55.jpg,TRUE
photo_5_2024-05-24_14-42-41.jpg,TRUE
photo_6_2024-05-24_11-40-02.jpg,TRUE
photo_6_2024-05-24_14-16-42.jpg,TRUE
photo_6_2024-05-24_14-17-55.jpg,TRUE
photo_6_2024-05-24_14-42-41.jpg,TRUE
photo_7_2024-05-24_11-40-02.jpg,TRUE
photo_7_2024-05-24_14-16-42.jpg,TRUE
photo_7_2024-05-24_14-42-41.jpg,TRUE
photo_8_2024-05-24_11-40-02.jpg,TRUE
photo_8_2024-05-24_14-16-42.jpg,TRUE
photo_8_2024-05-24_14-42-41.jpg,TRUE
photo_9_2024-05-24_11-40-02.jpg,TRUE
photo_9_2024-05-24_14-16-42.jpg,TRUE
photo_9_2024-05-24_14-42-41.jpg,TRUE
photo_10_2024-05-24_11-40-02.jpg,TRUE
photo_10_2024-05-24_14-16-42.jpg,TRUE
photo_10_2024-05-24_14-42-41.jpg,TRUE
photo_11_2024-05-24_11-40-02.jpg,TRUE
photo_11_2024-05-24_14-42-41.jpg,TRUE
photo_12_2024-05-24_11-40-02.jpg,TRUE
photo_12_2024-05-24_14-42-41.jpg,TRUE
photo_13_2024-05-24_11-40-02.jpg,TRUE
photo_14_2024-05-24_11-40-02.jpg,TRUE
photo_15_2024-05-24_11-40-02.jpg,TRUE
photo_16_2024-05-24_11-40-02.jpg,TRUE
photo_17_2024-05-24_11-40-02.jpg,TRUE
photo_1_2024-05-24_11-40-02.jpg,TRUE
photo_1_2024-05-24_14-16-42.jpg,TRUE
photo_1_2024-05-24_14-17-55.jpg,TRUE
photo_1_2024-05-24_14-42-41.jpg,TRUE
photo_2_2024-05-24_11-40-02.jpg,TRUE
photo_2_2024-05-24_14-16-42.jpg,TRUE
photo_2_2024-05-24_14-17-55.jpg,TRUE
photo_2_2024-05-24_14-42-41.jpg,TRUE
photo_3_2024-05-24_11-40-02.jpg,TRUE
photo_3_2024-05-24_14-16-42.jpg,TRUE
photo_16_2024-05-24_11-38-48.jpg,FALSE
images (1).jpg,FALSE
images (2).jpg,FALSE
images (3).jpg,FALSE
images (4).jpg,FALSE
images (5).jpg,FALSE
images (6).jpg,FALSE
images (7).jpg,FALSE
images (8).jpg,FALSE
images (9).jpg,FALSE
images (10).jpg,FALSE
images (11).jpg,FALSE
images.jpg,FALSE
images.png,FALSE
photo_1_2024-05-24_11-38-48.jpg,FALSE
photo_2_2024-05-24_11-38-48.jpg,FALSE
photo_3_2024-05-24_11-38-48.jpg,FALSE
photo_4_2024-05-24_11-38-48.jpg,FALSE
photo_5_2024-05-24_11-38-48.jpg,FALSE
photo_6_2024-05-24_11-38-48.jpg,FALSE
photo_7_2024-05-24_11-38-48.jpg,FALSE
photo_8_2024-05-24_11-38-48.jpg,FALSE
photo_9_2024-05-24_11-38-48.jpg,FALSE
photo_10_2024-05-24_11-38-48.jpg,FALSE
photo_11_2024-05-24_11-38-48.jpg,FALSE
photo_12_2024-05-24_11-38-48.jpg,FALSE
photo_13_2024-05-24_11-38-48.jpg,FALSE
photo_14_2024-05-24_11-38-48.jpg,FALSE
photo_15_2024-05-24_11-38-48.jpg,FALSE
